iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
1335.44,0.358784,1.16587,55.301,5,
879.275,0.151026,0.864087,35.0018,4,
1183.13,0.311005,1.36905,52.322,5,
1265.78,0.391803,2.14365,69.8434,5,
1330.8,0.32651,1.74272,54.4138,6,
835.901,0.316646,1.02579,70.2317,4,
1038.77,0.315699,2.02381,58.5272,5,
859.736,0.144502,0.857143,32.7695,4,
908.783,0.166883,1.62798,41.8385,4,
1058.66,0.332473,1.88016,55.1378,5,
744.448,0.312801,1.33135,49.4155,4,
1079.84,0.00168038,4.25794,63.476,3,
1239.39,0,4.48016,40.2303,3,
933.869,0.168053,1.4494,42.5332,4,
845.635,0.135355,0.792659,28.3587,4,
792.531,0.306145,1.38294,62.4743,4,
1086.88,0.258475,1.07381,33.5356,5,
1098.03,0.291169,1.96905,56.7532,5,
637.561,0.137171,0.667659,21.7465,4,
889.19,0.167093,1.12401,38.0512,4,
973.132,0.320662,1.22718,53.8485,4,
1073.81,0.337175,1.44048,46.8252,5,
916.519,0.156988,1.58532,42.3085,4,
862.195,0.214199,1.3998,38.0358,4,
1307.33,0.35511,1.46825,48.7945,6,
1036.48,0.347159,1.76508,49.8254,5,
876.614,0.258242,1.07143,36.4575,4,
1170.7,0.302657,2.23175,63.9276,5,
1158.52,0.300049,2.1127,59.8206,5,
1234.01,0.325672,1.54921,62.098,5,
855.469,0.201676,0.912698,30.2965,4,
806.636,0.00122906,1.0377,22.1203,3,
869.922,0.164835,1.15575,36.1117,4,
1287.63,0,2.03571,18.562,3,
1212.09,0.358088,2.11032,74.154,5,
1252.41,0,5.11905,35.9967,3,
890.317,0.126715,0.946429,29.3775,4,
886.633,0.145371,1.44444,39.8413,4,
946,0.197919,1.57937,48.3398,4,
918.285,0.0272025,0.853175,25.2567,3,
1093.54,0.333704,1.40952,47.305,5,
1076.5,0.359803,1.71508,48.0194,5,
635.814,0.271823,0.939484,38.44,4,
924.168,0.198225,1.48214,43.4765,4,
1041.81,0.323688,1.25952,38.1162,5,
1103.22,0.310603,1.51984,47.461,5,
897.75,0.178161,1.41567,39.4022,4,
966.729,0.204218,1.32937,46.2157,4,
1140.08,0.169057,0.986111,42.063,4,
1120.78,0.341386,1.08003,36.9885,6,
811.951,0.317662,1.53274,63.4385,4,
1183.97,0.376289,1.0754,48.2644,5,
1393.77,0.307418,1.43056,49.2398,6,
1292.44,0,1.94841,19.8763,3,
1200.39,0.313827,1.43095,52.5068,5,
1337.98,0,8.72619,70.324,3,
1658.24,0.428392,1.43849,55.9588,6,
1261.47,0,8.28571,47.7657,3,
851.972,0.136528,0.875,26.701,4,
872.771,0.141477,0.80754,30.2218,4,
1160.4,0.281526,1.18651,44.9676,5,
926.664,0.169534,1.77877,49.9673,4,
1345.89,0,6.38095,54.193,3,
1271.52,0.341318,1.39048,60.487,5,
903.765,0.213621,1.61607,45.112,4,
1002.96,0.011698,1.20833,25.6627,3,
927.803,0.131445,1.52679,45.524,4,
1123.44,0.26262,2.28175,61.6952,5,
1050.89,0.356324,1.22063,39.9436,5,
1234.35,0,4.13095,35.433,3,
888.608,0.158215,1.29563,38.5052,4,
1015.29,0.304565,1.45952,40.2932,5,
1288.76,0.254345,1.50463,48.0377,6,
1171.8,0.312128,1.89444,58.9056,5,
1368.74,0.0124929,8.41468,105.564,3,
1023.88,0.444028,1.20437,64.343,4,
1170.68,0.238313,1.36111,42.3014,5,
1777.2,0.932806,3.12188,71.0881,8,
877.887,0.142264,0.741071,30.7778,4,
855.207,0.162137,1.00992,30.85,4,
1135.82,0.460987,2.22381,67.116,5,
1215.1,0.329503,2.11032,70.4536,5,
1096.68,0.303447,1.33333,44.942,5,
2158.08,0.714254,3.98866,109.602,7,
921.535,0.151733,1.28968,37.13,4,
900.853,0.138743,1.38393,42.5095,4,
702.981,0.203294,1.1994,41.5002,4,
890.364,0.150873,0.844246,26.8698,4,
1187.97,0.0799171,5.33201,142.41,3,
1070.02,0.283324,1.37937,45.1364,5,
1155,0.27597,1.24048,46.2484,5,
1044.14,0.248643,1.55794,51.2006,5,
1203.87,0.329316,1.39603,57.7194,5,
709.933,0.0257762,1.01984,23.9193,3,
1141.09,0.319936,1.14127,43.7952,5,
1173.38,0.376003,1.22302,49.102,5,
844.236,0.158685,0.953373,29.3672,4,
1256.82,0,4.07937,37.9803,3,
922.252,0.150761,1.69742,50.881,4,
1247.73,0.18134,5.97354,145.316,3,
