baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
87811.7,0.158392,100,16514.5,5,25648.7,0.316991,20.0333,3338.46,6,4400.48,0.0815999,0.133333,41.0378,5,5787.6,0.115791,2.0529,307.964,5,8072.43,0.408989,1.39783,468.978,6,14148,0.381377,11.2116,1984.91,5,
96441.3,0.875291,100,15529.3,6,17331,0.77564,20.0333,2574.89,5,5385.04,0.0599383,0.133333,40.6314,5,6054.38,0.851939,2.19022,265.15,6,8611.51,0.0996442,2.82754,387.5,6,15899,0.883581,11.7693,2005.56,6,
86923.2,0.831471,100,16534.4,5,21180.1,0.749948,20.0333,3391.49,5,4845.82,0.83562,0.133333,54.8815,6,6185.63,0,2.46232,97.6738,5,12310,0.714512,2.74667,1056.45,6,18763.7,0.779923,12.5739,2196.15,6,
101831,0.998396,100,16157.2,6,8192.29,0,20.0333,656.204,5,4977.15,0,0.133333,12.8802,5,5278.45,0,2.04058,73.9844,5,5260.37,0,1.27391,76.197,5,6647.61,0,10.0116,348.319,5,
102773,0.996699,100,16612,6,17167.8,0.158288,20.0333,2701.47,5,4484.24,0.0170023,0.133333,25.9472,5,5985.7,0.506489,2.20609,419.048,5,6712.11,0.825969,1.71826,589.267,5,11220.9,0.811649,7.19614,1262.16,6,
35730.9,0.000780645,100,6297.85,5,11090.3,0.000441851,20.0333,1279.07,5,4519.9,0.000732079,0.133333,26.1294,5,6015.98,0.48257,2.09101,310.014,6,6107.77,0.509731,0.85942,386.222,5,8132.21,0.00194969,7.46425,772.872,5,
20100.4,0,100,3114.97,5,7611.27,0,20.0333,625.95,5,4518.96,0,0.133333,12.4658,5,4854.5,0,2.22174,79.2844,5,4992.23,0,0.789855,102.233,5,5451.61,0,5.74638,197.817,5,
105475,0.570244,100,16761,6,18607.4,0.126751,20.0333,2782.76,5,4789.44,0.0393752,0.133333,56.543,5,6396.44,0.066076,2.04312,314.269,5,6878.54,0.122287,1.85435,451.525,5,10570.1,0.112797,8.3279,1183.31,5,
102329,0.764778,100,16247.7,6,18097.3,0.795825,20.0333,2204.2,6,3829.68,0.310955,0.133333,51.3368,5,5027.77,0,2.07101,76.306,5,5087.83,0,1.12899,89.158,5,5916.12,0,7.43623,259.517,5,
