baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,
sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,
1,0.0349683,4.58,37.527,251.691,247.257,108.217,100,1,0.0349258,2.424,13.4382,39.8936,246.301,100.827,10.1,1,0.0349845,2.64,13.0245,19.7202,245.092,102.888,0.6,1,0.0349113,2.552,14.215,22.9755,246.511,101.321,1.13815,1,0.0349053,2.396,11.3947,23.5558,245.461,99.042,1.225,1,0.0349505,2.4,11.3614,19.4492,245.041,101.99,0.425397,
1,0.0349729,4.632,35.6152,248.214,251.248,105.86,100,1,0.034976,2.86,17.4521,39.076,244.851,100.691,10.1,1,0.0349246,2.476,13.986,19.3433,244.769,92.7866,0.6,1,0.0348785,2.236,11.172,23.493,245.743,105.667,1.15726,1,0.0349839,2.328,11.3825,24.0861,244.896,98.8255,1.23889,1,0.0348977,2.452,12.3133,22.7891,244.808,103.974,0.602682,
1,0.0349481,4.524,37.584,241.606,245.559,101.907,100,1,0.0349309,2.72,13.5451,40.5998,243.944,99.0917,10.1,1,0.0349724,2.364,11.2459,19.4422,244.652,98.2785,0.6,1,0.0349498,2.772,13.1657,22.921,245.027,104.988,1.1375,1,0.0348581,2.152,12.6649,23.5406,243.027,98.4071,1.26444,1,0.034999,2.904,14.0376,22.2398,246.133,105.639,0.601961,
1,0.0348586,5.044,36.8068,236.006,244.535,91.6236,100,0,0.0588009,7.204,36.8355,39.0889,244.364,97.89,10.1,0,0.130424,7.204,34.6834,19.6799,243.541,100.741,0.6,1,0.0346976,1.34,5.68998,24.363,243.487,74.7078,1.19926,1,0.0348657,2.612,13.7116,23.2714,244.406,99.4795,1.22832,1,0.0349297,2.52,13.8103,20.1443,243.879,96.8082,0.405747,
0,0.107536,7.204,51.7002,238.211,245.053,83.8281,100,0,0.127142,7.204,36.3181,41.9568,243.77,79.316,10.1,0,0.118243,7.204,32.5589,19.6066,238.624,78.3323,0.6,1,0.0341433,1.624,7.41591,25.9573,244.374,82.1833,1.26433,0,0.14117,7.204,34.6062,22.5197,245.49,94.8926,1.20993,0,0.145778,7.204,36.4202,50.4324,241.741,84.0736,3.53242,
1,0.0348674,4.056,29.0551,224.298,245.361,97.3432,100,1,0.0348947,2.5,12.5178,39.853,245.822,106.033,10.1,1,0.0349908,2.6,12.2655,19.4043,245,103.281,0.6,1,0.0348941,2.576,12.3611,22.6055,245.218,103.989,1.11963,1,0.0349078,2.716,13.1274,21.7237,244.539,105.222,1.17049,1,0.0349315,2.632,12.5281,19.9432,245.129,100.316,0.422939,
0,0.0856258,7.204,49.969,208.467,239.369,85.3689,100,0,0.603206,7.204,34.0095,37.7118,239.096,89.3887,10.1,0,0.11036,7.204,32.0511,19.4915,239.034,85.4911,0.6,0,0.291921,7.204,33.378,35.5227,241.055,74.6213,3.29765,0,0.167499,7.204,32.7258,22.1116,241.778,83.2952,1.22261,0,0.0925383,7.204,38.4339,57.3083,240.755,92.7307,3.35477,
1,0.0349133,6.112,46.2758,230.107,244.976,79.6399,100,0,0.107288,7.204,35.1409,37.4328,245.823,85.37,10.1,0,0.121667,7.204,32.6523,19.3168,237.825,84.4757,0.6,0,0.192913,7.204,35.433,37.5266,240.934,82.3834,2.9802,0,0.284098,7.204,33.9374,34.8126,244.857,80.6622,2.72039,0,0.0534392,7.204,37.0503,27.4283,241.259,82.0631,1.03464,
1,0.03486,4.368,32.4443,238.382,245.851,88.3543,100,1,0.0349591,3.724,19.0123,40.121,245.845,106.079,10.1,0,0.155679,7.204,32.5846,19.4236,242.628,86.5111,0.6,0,0.152134,7.204,33.6133,24.4172,242.072,84.0645,1.23987,0,0.182253,7.204,32.7365,22.8956,243.808,77.7938,1.28837,0,0.0929043,7.204,35.3348,22.8902,241.775,76.482,0.526405,
1,0.0348897,5.228,37.6818,235.577,244.741,86.6222,100,1,0.0349619,3.188,16.2947,38.3142,243.84,81.3621,10.1,0,0.159045,7.204,34.4124,19.6838,243.27,94.2542,0.6,1,0.0349419,1.876,8.83137,35.8233,243.999,81.2952,2.53737,1,0.034983,3.696,17.6487,28.262,244.374,89.5056,2.21072,0,0.291002,7.204,33.654,31.4894,239.711,86.9003,1.09307,
1,0.0349336,3.724,25.4415,218.441,238.18,86.1536,100,1,0.0349177,4.032,19.3404,39.8684,243.08,73.9123,10.1,0,0.102932,7.204,34.3356,19.2183,241.48,90.0181,0.6,1,0.0348728,1.9,9.95289,30.1281,244.034,86.2915,1.83308,0,0.123228,7.204,32.6781,23.2431,244.638,77.3201,1.3317,1,0.0349368,2.272,11.3459,20.0962,244.844,88.5507,0.460494,
1,0.0348578,4.876,34.5297,221.669,244.857,90.4037,100,0,0.573736,7.204,34.0233,38.5139,238.024,88.5678,10.1,0,0.936595,7.204,34.8748,19.883,239.283,91.8461,0.6,1,0.0347779,4.72,21.6364,29.9903,243.273,71.8447,1.68194,1,0.0349682,3.452,17.9998,25.7479,245.317,101.892,1.50894,1,0.0347289,2.444,10.3524,18.7817,241.506,61.8159,0.406897,
0,0.280654,7.204,49.0607,224.317,238.923,79.6979,100,1,0.0349807,2.692,13.8231,38.3364,241.865,79.8568,10.1,0,0.163337,7.204,31.8134,20.4419,241.69,72.1305,0.6,0,0.207236,7.204,35.4462,35.1885,237.503,96.6715,1.84065,0,0.113904,7.204,33.5402,27.4008,245.227,76.9767,1.8381,0,0.10355,7.204,37.416,37.5702,242.203,89.7782,2.21817,
1,0.0349542,5.328,38.8416,240.302,244.589,90.3631,100,0,0.155353,7.204,34.8349,38.384,245.059,88.612,10.1,0,0.155129,7.204,33.9612,19.4151,243.197,93.7353,0.6,1,0.0349061,1.3,6.81875,29.6064,244.443,94.3447,1.62926,1,0.0349979,3.008,16.4535,27.0841,244.392,97.567,1.53159,1,0.0348906,2.652,14.5266,31.4798,244.023,102.384,1.96631,
1,0.0349557,4.524,32.4315,229.2,244.737,87.3988,100,0,0.155509,7.204,35.1535,39.3235,243.697,89.0451,10.1,0,0.223792,7.204,32.9932,19.5192,241.362,85.7674,0.6,0,0.112332,7.204,33.5938,24.1726,241.866,93.0229,1.26536,0,0.178979,7.204,33.0529,23.0124,244.155,87.3019,1.35752,0,0.170748,7.204,34.0519,26.7536,244.059,90.5893,0.742222,
0,0.126753,7.204,51.5312,241.385,245.687,77.2305,100,0,0.146921,7.204,34.3673,38.9655,240.643,83.7504,10.1,0,0.131103,7.204,35.707,19.5852,245.24,93.055,0.6,0,0.117209,7.204,33.627,22.5725,245.113,89.0926,1.12562,1,0.0347693,1.372,6.75613,25.8956,245.809,89.2851,1.57569,1,0.0348248,1.82,8.89854,21.174,246.052,84.6342,0.522751,
1,0.0348552,4.324,31.3473,230.419,245.42,98.9979,100,1,0.0348966,2.892,16.4787,39.1928,244.486,83.4999,10.1,1,0.0345995,1.7,7.48411,19.1265,244.82,72.7538,0.6,1,0.0349703,2.46,11.2449,23.9464,244.18,82.0997,1.20038,0,0.142589,7.204,34.5548,24.8854,245.517,85.7999,1.37575,0,0.450776,7.204,33.3033,37.1521,238.812,78.5141,1.82196,
0,0.105567,7.204,50.8471,227.127,244.564,87.587,100,0,0.401534,7.204,34.3864,38.8721,238.564,84.6542,10.1,0,0.612128,7.204,32.0997,18.9878,237.86,84.0623,0.6,0,0.303488,7.204,32.7932,24.3965,240.195,84.0344,1.22667,0,0.184246,7.204,31.9801,24.0716,239.887,73.6935,1.44431,0,0.163415,7.204,33.3569,31.9246,240.902,82.4062,1.32,
